OBJECTID,ID,P_UST,P_LDPNT_D2,P_DSLPM_D2,P_CANCR_D2,P_RESP_D2,P_PTRAF_D2,P_PWDIS_D2,P_PNPL_D2,P_PRMP_D2,P_PTSDF_D2,P_OZONE_D2,P_PM25_D2,P_UST_D2
40349,110010033011,16.24488857,65.18809883,59.01494074,58.52491412,58.52935947,64.22210967,,59.59339142,62.77865899,68.06439603,59.2148042,59.20792378,63.67139863
40350,110010033012,86.33098967,13.19101388,25.89746338,40.09441307,39.66314706,2.744630665,40.62430118,22.70247673,9.99926278,1.167229396,47.78817736,47.54091024,10.78867887
40351,110010033013,74.8760005,67.91146549,60.47160711,59.25292368,59.246543,66.10357701,66.91045724,61.87722192,66.31063623,74.99967395,59.7236806,59.69684723,66.59449931
40352,110010033021,98.12043362,14.09766258,26.98826417,41.74398751,41.28600396,2.17128325,,23.27221467,13.46436955,1.320975746,48.87451637,48.65212503,2.280773645
40353,110010033022,99.0192132,42.72336368,54.26547904,56.77388984,56.77804434,20.51479171,,50.92609439,47.6761044,19.01723513,58.00048021,57.99850215,19.08294956
40354,110010034001,96.56153704,93.78575955,89.55489961,85.86036064,85.43980055,95.15451531,76.46754925,89.57934681,92.34644302,99.10364926,82.31764906,81.14283228,96.55565714
40355,110010034002,98.5044771,87.09423846,76.90650745,71.34062393,71.10667812,91.32802891,73.69512538,79.41846063,86.12215519,95.57801653,69.09519022,68.7319714,92.92175569
40356,110010035001,92.07313003,91.68692263,86.7416012,82.1551127,81.82014692,96.9031901,77.14683969,85.63920594,85.74449981,98.58892475,78.74029962,77.79447834,92.09121968
40357,110010035002,99.43687362,91.79671749,96.17947806,95.44271498,95.15377222,98.57950589,79.69482036,94.27020721,93.62454314,99.96568706,93.16081649,91.75747917,99.71517477
40358,110010036001,98.74261379,65.4777979,60.25959356,59.12971811,59.1269837,69.60736532,68.16873733,61.10077439,60.97790365,75.66744454,59.64158005,59.62490546,72.55144579
