OBJECTID,GEOID10,Lead Paint,Diesel Particulate Matter,Air Toxics Cancer Risk,Air Toxics Respiratory HI,Traffic Proximity,Wastewater Discharge,Superfund Proximity,RMP Facility Proximity,Hazardous Waste Proximity,Ozone,Particulater Patter 2.5,Underground Storage Tanks
40492,110010077081,98.51,97.95,95.56,97.57,99.91,85.00,98.28,87.29,97.96,96.00,95.17,98.30
40493,110010077082,94.84,91.74,84.31,88.61,98.55,82.97,95.99,75.10,94.02,84.84,84.19,63.67
40494,110010077091,96.28,90.91,85.34,89.54,99.35,84.25,97.68,74.24,95.09,85.87,85.10,85.70
40495,110010077092,95.78,90.50,84.67,88.94,98.53,83.87,97.63,73.51,95.08,85.25,84.49,95.72
40496,110010078031,89.60,90.30,85.94,86.62,99.24,77.86,93.24,90.14,94.44,86.50,85.68,97.79
40497,110010078032,89.83,84.86,78.96,79.57,81.52,74.91,88.88,85.79,89.86,79.37,78.82,84.80
40498,110010078033,82.96,75.87,69.74,70.17,86.36,75.25,81.96,78.60,84.06,69.95,69.80,83.36
40499,110010078034,93.47,90.27,85.90,86.57,92.69,78.40,93.20,88.87,94.34,86.46,85.65,96.56
40500,110010078041,98.30,93.98,91.78,92.38,95.67,71.97,94.81,93.84,94.74,92.52,91.38,95.71
40501,110010078042,93.89,92.15,89.06,89.74,90.53,60.88,93.38,92.29,93.24,89.80,88.65,88.23
40502,110010078043,91.94,85.74,80.43,81.05,93.52,75.83,89.50,86.38,89.63,80.92,80.16,87.28
40503,110010078061,90.80,85.00,78.76,79.37,90.78,60.94,86.73,89.95,90.35,79.25,78.55,83.98
40504,110010078062,91.89,88.91,83.52,84.25,96.53,65.66,90.39,91.23,91.90,84.21,83.30,93.40
40505,110010078071,95.39,90.09,85.58,86.23,94.24,60.89,90.20,93.32,90.90,86.24,85.15,96.69
40506,110010078072,85.47,84.38,78.27,78.90,88.73,60.83,86.22,89.66,87.95,78.77,77.97,93.53
40507,110010078081,93.06,96.24,95.36,95.70,94.30,61.00,96.02,95.48,95.36,95.87,94.82,98.06
40508,110010078082,88.07,86.94,82.12,82.76,95.02,60.77,88.00,90.98,89.43,82.75,81.75,94.38
40509,110010078083,86.29,75.74,70.04,70.47,79.78,60.60,79.99,82.12,81.64,70.30,69.98,85.76
40510,110010078091,97.87,92.06,88.27,88.93,92.32,60.98,92.40,93.94,93.32,89.01,87.91,91.18
40511,110010078092,92.93,88.12,82.63,83.31,95.30,68.21,90.31,89.57,91.23,83.29,82.39,90.30
40512,110010079011,88.82,81.55,73.62,77.12,94.19,74.43,90.80,78.87,94.18,73.93,73.63,90.23
40513,110010079012,77.54,69.57,63.95,65.52,79.87,70.94,81.32,67.80,85.01,64.43,64.39,63.67
40514,110010079013,93.17,87.71,80.39,84.57,91.43,75.07,95.50,81.57,96.77,80.93,80.29,63.67
40515,110010079014,94.81,89.93,83.24,87.56,96.77,75.67,95.72,84.07,97.98,83.93,83.16,92.84
40516,110010079031,93.58,85.25,77.79,81.81,93.60,76.64,93.53,81.18,94.86,78.27,77.77,91.24
40517,110010080011,8.91,21.11,34.13,33.75,2.88,38.30,9.40,21.32,1.49,44.13,43.34,2.93
40518,110010080012,2.32,9.99,19.94,19.71,3.97,36.26,3.97,14.55,0.65,31.75,30.49,3.34
40519,110010080013,15.87,32.17,44.97,44.63,17.02,40.92,13.63,32.42,3.89,51.01,50.68,34.17
40520,110010080021,22.97,33.29,45.37,45.06,13.91,39.35,12.10,35.20,5.35,51.28,50.96,19.52
40521,110010080022,0.25,2.38,5.63,5.68,1.82,32.52,0.97,8.38,0.23,13.09,12.02,3.23
40522,110010081001,9.05,16.86,31.15,30.83,5.35,39.06,7.15,20.07,1.00,41.91,41.08,28.03
40523,110010081002,0.59,3.45,9.74,9.67,1.66,27.93,1.68,10.08,0.25,19.52,18.34,12.59
40524,110010081003,3.53,10.32,22.45,22.24,4.65,27.52,3.13,17.64,0.55,34.24,33.19,17.46
40525,110010082001,0.49,3.46,11.11,11.03,2.18,25.85,1.68,11.55,0.22,21.25,20.25,12.07
40526,110010082002,1.04,3.82,12.02,11.95,1.65,26.27,2.23,11.70,0.24,22.46,21.44,2.74
40527,110010083011,6.80,5.17,15.44,15.34,2.39,31.99,4.11,10.46,0.28,26.66,25.65,8.70
40528,110010083012,1.10,4.36,13.63,13.55,1.66,27.56,3.16,10.84,0.26,24.48,23.48,5.35
40529,110010083021,0.13,1.32,4.68,4.66,0.83,26.14,1.29,5.73,0.10,10.99,10.19,13.00
40530,110010084021,13.34,18.31,32.87,32.54,2.72,38.95,9.11,19.46,1.19,43.17,42.38,2.98
40531,110010084022,63.37,58.46,58.28,58.28,59.81,62.99,59.13,58.56,63.13,59.03,59.03,64.93
40532,110010084101,8.83,18.15,33.03,32.69,2.03,39.23,10.46,17.40,1.03,43.24,42.50,3.92
40533,110010087011,39.18,52.37,56.15,56.14,17.09,,47.63,42.81,15.71,57.59,57.58,16.70
40534,110010087012,79.19,69.22,64.73,64.66,87.52,,73.45,76.47,88.45,63.84,63.76,81.14
40535,110010087021,93.73,87.23,82.95,82.59,93.64,,88.82,91.81,97.94,79.35,78.50,96.81
40536,110010087022,67.50,64.86,61.83,61.76,70.74,,69.11,70.69,82.70,61.59,61.56,85.29
40537,110010088021,79.65,71.46,66.70,66.63,83.89,70.61,79.62,72.98,88.31,65.31,65.26,85.43
40538,110010088022,91.55,87.63,83.78,83.44,96.15,74.49,93.26,83.52,97.71,79.97,79.26,97.00
40539,110010088023,90.11,81.99,76.94,76.74,91.76,72.51,88.88,81.13,95.48,73.65,73.31,92.62
40540,110010088024,87.76,79.67,74.52,74.29,84.27,72.14,86.52,80.20,93.88,71.51,71.28,86.92
40541,110010088031,99.07,98.02,97.87,97.74,98.79,76.79,97.73,96.86,99.71,96.39,95.41,99.50
40542,110010088041,91.63,86.73,83.48,83.13,92.46,74.06,91.80,86.55,96.82,79.72,79.00,94.53
